,Batsman,degree_centrality,Team
44,KL Rahul,21.80654724,PBKS
29,S Dhawan,18.19531202,DC
97,DA Warner,16.70781495,SRH
11,Ishan Kishan,15.38879743,MI
2,SA Yadav,14.88453918,MI
31,SS Iyer,14.74696118,DC
83,V Kohli,14.65838794,RCB
85,AB de Villiers,14.53288152,RCB
45,MA Agarwal,14.17075888,PBKS
1,Q de Kock,14.01528942,MI
,Bowlers,degree_centrality,Team
23,K Rabada,13.20256,DC
2,JJ Bumrah,10.69104,MI
88,JC Archer,9.20812,RR
21,A Nortje,8.55534,DC
63,YS Chahal,8.42148,RCB
49,CV Varun,8.402560000000001,KKR
0,TA Boult,7.518160000000001,MI
71,Sandeep Sharma,7.16812,SRH
35,Mohammed Shami,6.81422,PBKS
75,Rashid Khan,6.5862,SRH
,Batsman Degree Centrality,Bowlers Degree Centrality,Total Degree centrality,Batsman Average Degree Centrality,Bowlers Average Degree Centrality,Teams Centrality
MI,78.60568649700001,28.341140000000003,106.94682649700002,6.046591269,3.5426425000000004,9.589233769
DC,77.256989058,37.212619999999994,114.469609058,5.1504659372,4.1347355555555545,9.285201492755554
SRH,75.963337314,28.84236,104.805697314,5.0642224876,2.40353,7.4677524876
CSK,63.687808501,25.29436,88.982168501,4.549129178642857,2.299487272727273,6.8486164513701295
RR,70.69071508100001,23.217059999999996,93.90777508100001,4.158277357705883,2.579673333333333,6.737950691039216
PBKS,74.053448034,21.00216,95.055608034,4.356085178470588,2.3335733333333333,6.689658511803922
RCB,66.70170651500001,25.3626,92.06430651500001,4.168856657187501,2.305690909090909,6.47454756627841
KKR,67.608153378,21.09164,88.699793378,3.9769501987058824,2.343515555555556,6.320465754261438
