,degree_centrality,close_centrality,eigen_vector_centrality,pagerank
TA Boult,7.518160000000001,0.0,0.0007038895636702681,0.010964963011443608
JL Pattinson,2.3957,0.0,0.0007038895636702681,0.010964963011443608
JJ Bumrah,10.69104,0.0,0.0007038895636702681,0.010964963011443608
KH Pandya,1.2170999999999998,0.0,0.0007038895636702681,0.010964963011443608
RD Chahar,3.8259600000000002,0.0,0.0007038895636702681,0.010964963011443608
DS Kulkarni,0.0,0.0,0.0007038895636702681,0.010964963011443608
NM Coulter-Nile,1.30728,0.0,0.0007038895636702681,0.010964963011443608
KA Pollard,1.0031999999999999,0.0,0.0007038895636702681,0.010964963011443608
J Yadav,0.3827,0.0,0.0007038895636702681,0.010964963011443608
,degree_centrality,close_centrality,eigen_vector_centrality,pagerank
DL Chahar,3.13374,0.0,0.0007219185717102423,0.010638282881925658
SM Curran,4.61414,0.0,0.0007219185717102423,0.010638282881925658
L Ngidi,5.4529,0.0,0.0007219185717102423,0.010638282881925658
PP Chawla,2.97138,0.0,0.0007219185717102423,0.010638282881925658
RA Jadeja,1.00054,0.0,0.0007219185717102423,0.010638282881925658
SN Thakur,4.1237200000000005,0.0,0.0007219185717102423,0.010638282881925658
KV Sharma,1.5607,0.0,0.0007219185717102423,0.010638282881925658
DJ Bravo,1.07304,0.0,0.0007219185717102423,0.010638282881925658
Imran Tahir,0.46036,0.0,0.0007219185717102423,0.010638282881925658
JR Hazlewood,0.10396,0.0,0.0007219185717102423,0.010638282881925658
MJ Santner,0.79988,0.0,0.0007219185717102423,0.010638282881925658
Monu Kumar,0.0,0.0,0.0007219185717102423,0.010638282881925658
,degree_centrality,close_centrality,eigen_vector_centrality,pagerank
A Nortje,8.55534,0.0,0.0006168539708043668,0.010090873738725295
MM Sharma,0.81802,0.0,0.0006168539708043668,0.010090873738725295
K Rabada,13.202560000000002,0.0,0.0006168539708043668,0.010090873738725295
R Ashwin,5.4468,0.0,0.0006168539708043668,0.010090873738725295
